,Data by year
0,(PADD 1) Refinery and Blender Net Input of Crude Oil 2016 = 405496.0
1,(PADD 1) Refinery and Blender Net Input of Crude Oil 2017 = 390865.0
2,(PADD 1) Refinery and Blender Net Input of Crude Oil 2018 = 381551.0
3,(PADD 1) Refinery and Blender Net Input of Crude Oil 2019 = 326881.0
4,(PADD 1) Refinery and Blender Net Input of Crude Oil 2020 = 221024.0
5,(PADD 1) Refinery and Blender Net Input of Crude Oil 2021 = 56063.0
6,(PADD 2) Refinery and Blender Net Input of Crude Oil 2016 = 1325128.0
7,(PADD 2) Refinery and Blender Net Input of Crude Oil 2017 = 1371558.0
8,(PADD 2) Refinery and Blender Net Input of Crude Oil 2018 = 1385221.0
9,(PADD 2) Refinery and Blender Net Input of Crude Oil 2019 = 1387965.0
10,(PADD 2) Refinery and Blender Net Input of Crude Oil 2020 = 1263870.0
11,(PADD 2) Refinery and Blender Net Input of Crude Oil 2021 = 316919.0
12,(PADD 3) Refinery and Blender Net Input of Crude Oil 2016 = 3115203.0
13,(PADD 3) Refinery and Blender Net Input of Crude Oil 2017 = 3182545.0
14,(PADD 3) Refinery and Blender Net Input of Crude Oil 2018 = 3297722.0
15,(PADD 3) Refinery and Blender Net Input of Crude Oil 2019 = 3223336.0
16,(PADD 3) Refinery and Blender Net Input of Crude Oil 2020 = 2806351.0
17,(PADD 3) Refinery and Blender Net Input of Crude Oil 2021 = 647525.0
18,(PADD 4) Refinery and Blender Net Input of Crude Oil 2016 = 218870.0
19,(PADD 4) Refinery and Blender Net Input of Crude Oil 2017 = 227131.0
20,(PADD 4) Refinery and Blender Net Input of Crude Oil 2018 = 226328.0
21,(PADD 4) Refinery and Blender Net Input of Crude Oil 2019 = 229745.0
22,(PADD 4) Refinery and Blender Net Input of Crude Oil 2020 = 204929.0
23,(PADD 4) Refinery and Blender Net Input of Crude Oil 2021 = 50836.0
24,(PADD 5) Refinery and Blender Net Input of Crude Oil 2016 = 859698.0
25,(PADD 5) Refinery and Blender Net Input of Crude Oil 2017 = 883142.0
26,(PADD 5) Refinery and Blender Net Input of Crude Oil 2018 = 903010.0
27,(PADD 5) Refinery and Blender Net Input of Crude Oil 2019 = 877469.0
28,(PADD 5) Refinery and Blender Net Input of Crude Oil 2020 = 705566.0
29,(PADD 5) Refinery and Blender Net Input of Crude Oil 2021 = 171268.0
30,Total US Refinery Net Input of Crude Oil 2016 = 5924395.0
31,Total US Refinery Net Input of Crude Oil 2017 = 6055241.0
32,Total US Refinery Net Input of Crude Oil 2018 = 6193832.0
33,Total US Refinery Net Input of Crude Oil 2019 = 6045396.0
34,Total US Refinery Net Input of Crude Oil 2020 = 5201740.0
35,Total US Refinery Net Input of Crude Oil 2021 = 1242611.0
